Genre,Total_Genre_Listened
Mandopop,450
Chinese Drama Ost,300
N/A,275
Chinese Viral Pop,87
Holiday,59
Pop,52
Dance Pop,42
Chinese Manyao,21
Cantopop,19
Chinese Singer-songwriter,19
