endTime,artistName,trackName,msPlayed
2021-12-08 00:39,Yu-Peng Chen,Thoughts of Lightning,114173
2021-12-08 00:40,Yu-Peng Chen,The Mysterious Islands,83506
2021-12-08 00:42,Yu-Peng Chen,Sakura-Scented Kiseru,88786
2021-12-08 00:43,Yu-Peng Chen,Her Legacy,71053
2021-12-08 00:44,Yu-Peng Chen,Everlasting Devotion,87560
2021-12-08 00:46,Yu-Peng Chen,Kitsune's Mask,99893
2021-12-08 00:48,Yu-Peng Chen,Hanachirusato,94066
2021-12-08 00:49,Yu-Peng Chen,Time to Say Farewell,91706
2021-12-08 00:50,Yu-Peng Chen,Flickering Sakura,65640
2021-12-08 00:51,Yu-Peng Chen,Sigh of an Old Friend,73666
2021-12-08 00:53,Yu-Peng Chen,The Sealed Harbor,72853
2021-12-08 00:54,Yu-Peng Chen,Island for Outlanders,93040
2021-12-08 00:55,Yu-Peng Chen,Dream of Homeland,63733
2021-12-08 00:55,Yu-Peng Chen,Interwoven Nostalgia,6276
2021-12-09 14:04,Frank Sinatra,That's Life,39125
2021-12-11 13:46,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,44501
2021-12-11 13:47,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,57066
2021-12-11 13:48,Yu-Peng Chen,Say My Name,58572
2021-12-11 13:49,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),2304
2021-12-11 13:49,Yu-Peng Chen,Reminiscence - Genshin Impact Main Theme Var.,6549
2021-12-11 13:49,Yu-Peng Chen,Fragile Fantasy,448
2021-12-11 13:49,Yu-Peng Chen,Vast and Blue,13503
2021-12-11 13:49,Yu-Peng Chen,Snow-Buried Tales,6186
2021-12-11 13:49,Yu-Peng Chen,Dusk in Mondstadt,7381
2021-12-11 13:49,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,1322
2021-12-11 13:49,Yu-Peng Chen,A New Day with Hope,4991
2021-12-11 13:49,Yu-Peng Chen,Tender Strength,19306
2021-12-11 13:51,Yu-Peng Chen,Ripples of Daydream,83377
2021-12-11 13:52,Yu-Peng Chen,Moonlike Smile,3263
2021-12-11 13:52,Yu-Peng Chen,Say My Name,10901
2021-12-11 13:52,Yu-Peng Chen,A Transparent Moon (Liuli Pavilion),6080
2021-12-11 13:52,Yu-Peng Chen,Lovers' Oath,72752
2021-12-11 13:52,Yu-Peng Chen,"A Storm, A Spire, and A Sanctum (Dvalin's Nest)",5546
2021-12-11 13:53,Yu-Peng Chen,Forsaken Child of Ancient Times (Dvalin's Nest),0
2021-12-11 13:53,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),512
2021-12-11 13:53,Yu-Peng Chen,Reminiscence - Genshin Impact Main Theme Var.,1664
2021-12-11 13:53,Yu-Peng Chen,Say My Name,6293
2021-12-11 13:53,Yu-Peng Chen,Vast and Blue,8063
2021-12-11 13:53,Yu-Peng Chen,Snow-Buried Tales,2005
2021-12-11 13:53,Yu-Peng Chen,Dusk in Mondstadt,448
2021-12-11 13:53,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,29610
2021-12-11 13:53,Yu-Peng Chen,A New Day with Hope,1621
2021-12-11 13:53,Yu-Peng Chen,Tender Strength,8490
2021-12-11 13:53,Yu-Peng Chen,Tender Strength,2773
2021-12-15 04:05,Doris Day,"Que Sera, Sera (Whatever Will Be, Will Be)",2270
2021-12-15 04:07,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",22490
2021-12-15 04:07,Music Falcon,Coffin Dance,15940
2021-12-15 04:08,Music Falcon,Coffin Dance - Dubstep,4340
2021-12-15 04:08,DJSM,Astronomia 2K20,2780
2021-12-15 04:08,DJSM,Astronomia 2K20,19820
2021-12-15 04:08,Fonzi M,Astronomia - Coffin Dance (Piano Version),3610
2021-12-15 04:10,Doris Day,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",3210
2021-12-15 04:10,Music Falcon,Coffin Dance,89990
2021-12-17 17:54,China songs,You Have Me,223375
2021-12-17 17:57,Krystal Chan,风的话 - 《我的小确幸》影视剧片头主题曲,1024
2021-12-17 17:57,满舒克,笑看江湖 - 网剧《山河令》江湖推广曲,511
2021-12-17 17:57,連淮偉,愛是,1557
2021-12-17 17:57,China songs,When I Was Eighteen,182508
2021-12-17 17:57,China songs,Downwind,1514
2021-12-17 17:57,China songs,Downwind,5226
2021-12-17 17:57,Hu Xia,无题 - 网剧《山河令》插曲,4635
2021-12-17 18:01,Krystal Chan,风的话 - 《我的小确幸》影视剧片头主题曲,195744
2021-12-17 18:45,China songs,Downwind,198890
2021-12-19 06:08,Yu-Peng Chen,Forsaken Child of Ancient Times (Dvalin's Nest),7100
2021-12-19 06:08,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),6520
2021-12-19 06:08,Yu-Peng Chen,Forlorn Child of Archaic Winds (Dvalin's Nest),3640
2021-12-20 02:44,Olivia Rodrigo,traitor,2474
2021-12-20 02:48,Olivia Rodrigo,enough for you,202826
2021-12-20 02:49,Olivia Rodrigo,happier,64245
2021-12-20 02:52,LilyPichu,last cup of coffee,164
2021-12-20 02:52,Mad Tsai,that friend,180903
2021-12-20 08:34,Mad Tsai,that friend,58986
2021-12-20 08:37,Daniel Caesar,Best Part (feat. H.E.R.),142229
2021-12-20 08:48,Yu-Peng Chen,Fall of Maples,2090
2021-12-20 08:48,Yu-Peng Chen,The Land of Her Serenity,2645
2021-12-20 08:48,Yu-Peng Chen,Separated Dream,1621
2021-12-20 08:48,Yu-Peng Chen,Inazuma,1088
2021-12-20 08:48,Yu-Peng Chen,Streets of Elegance,1194
2021-12-20 08:48,Yu-Peng Chen,Lingering Blossom,1770
2021-12-20 08:49,Yu-Peng Chen,Sigh of an Old Friend,2858
2021-12-20 08:49,Yu-Peng Chen,Blue Dream,2368
2021-12-20 08:49,Yu-Peng Chen,Everlasting Devotion,2474
2021-12-20 08:49,Yu-Peng Chen,Kitsune's Mask,4416
2021-12-20 08:49,Yu-Peng Chen,Hanachirusato,1834
2021-12-20 08:49,Yu-Peng Chen,Island for Outlanders,5994
2021-12-20 08:49,Yu-Peng Chen,Flickering Sakura,5418
2021-12-20 08:49,Yu-Peng Chen,The Mysterious Islands,5226
2021-12-20 08:49,Yu-Peng Chen,Dream of Homeland,2154
2021-12-20 08:49,Yu-Peng Chen,The Sealed Harbor,4906
2021-12-20 08:49,Yu-Peng Chen,In the Strange Realm of Sakura,3648
2021-12-20 08:49,Yu-Peng Chen,Sakura-Scented Kiseru,3861
2021-12-20 08:49,Yu-Peng Chen,Thoughts of Lightning,3818
2021-12-20 08:49,Yu-Peng Chen,Time to Say Farewell,1834
2021-12-20 08:49,Yu-Peng Chen,Her Legacy,4437
2021-12-20 08:49,Yu-Peng Chen,Dream of Scattered Petals,1834
